Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
J David Tax Law LLC,(888) 265-2361,jdsooriash@gmail.com,http://www.jdavidtaxlaw.com/free-consultation/yp/,7077 Bonneval Rd. Suite 200,Jacksonville,FL,32216,https://www.facebook.com/jdavidtaxlaw/,,,,"['Mo-Sa 08:00-21:00', 'Su 10:00-16:00']",5,274,9 Years,7 Years ,,,Accredited Business,https://www.yellowpages.com/jacksonville-fl/mip/j-david-tax-law-llc-540773434?lid=1002069740015,"J. David Tax Law is a Tax Firm that provides customized tax solutions that enable you to overcome your tax problems and successfully get on with your life. We are not a tax relief or tax resolution company.  At our firm, only an experienced tax attorney will work on your case. We have represented and helped thousands of individuals and businesses in the United States solve IRS and State Tax Debt issues, people just like you. We have flexible fee payment plans that make professional representation affordable for everyone. We consistently provide our clients relief from bank levies, wage garnishments, and Federal or State tax liens. In most cases we can get IRS or State wage garnishments removed within 48 hours.  We offer a No-Cost Professional Consultation to start the process of ending your tax burden. Peace of mind is only a click or phone call away."
Anderson  Bradshaw Tax Consultants,(844) 446-9432,jeff@andersonbradshawtax.com,https://andersonbradshaw.com,7080 Hollywood Blvd,Los Angeles,CA,90028,https://www.facebook.com/AndersonBradshawTaxConsulting,,,,['Mo-Sa 09:00-17:00'],5,110,34 Years,4 Years ,,,Accredited Business,https://www.yellowpages.com/los-angeles-ca/mip/anderson-bradshaw-tax-consultants-503094688?lid=1002014442884,"** Stop Collections ** Help with Tax Liens-Levies ** Debt & IRS Tax Relief  ** Tax Negotiations-Settlements ** GET HELP NOW - FREE CONSULTATION. Full service tax firm.  Affordable fees for any budget. In most cases we settle for a fraction of the amount owed. We solve IRS and State tax liability problems. We are a nationwide firm with 25 years experience. We represent those with tax problems. Professional tax consultation and negotiations. You are not alone. We help with : Tax Law - Tax Negotiation - Back taxes - Tax attorney - Audit Representation . AFFORDABLE ATTORNEY RETAINERS - In most cases we settle for a fraction of the amount owed. Offer in compromise. Tax relief. Tax law. Wage garnishment. Tax lien Tax levy. Tax settlement. 940 , 941 , Payroll taxes. Back taxes"
Optima Tax Relief,(800) 910-9619,,,,,,,,,,,"['Mo-Fr 07:00-18:00', 'Sa 08:00-12:00']",5,90,12 Years,3 Years ,,,,https://www.yellowpages.com/nationwide/mip/optima-tax-relief-470441381?lid=1002154923483,"Falling behind on tax payments to the IRS is something that millions of Americans have dealt with at one time or another. Owing money to the IRS can be very intimidating, but don’t worry and definitely don’t lose hope – there is tax relief available. A reputable tax relief company can help you reach a tax relief agreement with the IRS. Using proven strategies, our knowledgeable experts can assist you through tax audits, help reduce your tax debt, and stop wage garnishments and bank levies from happening. In some cases, you may be able to settle tax debts for much less than was originally owed. The tax relief experts at Optima Tax Relief are available to be your dedicated resource to save you the most money while resolving your IRS debt in the shortest amount of time possible."
"Dominick Feld Hyde, P.C.",(205) 536-8888,llittle@dfhlaw.com,http://www.dfhlaw.com,1130 22nd St S,Birmingham,AL,35205,https://www.facebook.com/pages/kok-sammye-oden-dominick-feld-hyde/1495662694072863,,,,['Mo-Fr 09:00-17:00'],,,80 Years,9 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/dominick-feld-hyde-p-c-475111113?lid=1000625278727,"Founded in 1943, Dominick, Fletcher, Yeilding, Wood & Lloyd is a full-service law firm. Its practice areas include banking and finance, business law, land use, wills, trusts, financial and estate planning, taxation, commercial litigation, labor and employment, intellectual property, and fiduciary and construction disputes. Additionally, Dominick, Fletcher, Yeilding, Wood & Lloyd provides legal service in the areas of bankruptcy, real estate, zoning, corporate governance, business reorganization, commercial transactions, divorce, child custody and support, visitation rights and adoption. It employs several attorneys who serve individuals, families, businesses, health care organizations and nonprofit organizations. Dominick, Fletcher, Yeilding, Wood & Lloyd maintains a location in Birmingham, Ala."
J David Tax Law LLC,(888) 265-2361,jdsooriash@gmail.com,http://www.jdavidtaxlaw.com/free-consultation/yp/,7077 Bonneval Rd. Suite 200,Jacksonville,FL,32216,https://www.facebook.com/jdavidtaxlaw/,,,,"['Mo-Sa 08:00-21:00', 'Su 10:00-16:00']",5,274,9 Years,7 Years ,,,Accredited Business,https://www.yellowpages.com/jacksonville-fl/mip/j-david-tax-law-llc-540773434?lid=1002069740015,"J. David Tax Law is a Tax Firm that provides customized tax solutions that enable you to overcome your tax problems and successfully get on with your life. We are not a tax relief or tax resolution company.  At our firm, only an experienced tax attorney will work on your case. We have represented and helped thousands of individuals and businesses in the United States solve IRS and State Tax Debt issues, people just like you. We have flexible fee payment plans that make professional representation affordable for everyone. We consistently provide our clients relief from bank levies, wage garnishments, and Federal or State tax liens. In most cases we can get IRS or State wage garnishments removed within 48 hours.  We offer a No-Cost Professional Consultation to start the process of ending your tax burden. Peace of mind is only a click or phone call away."
Anderson  Bradshaw Tax Consultants,(844) 446-9432,jeff@andersonbradshawtax.com,https://andersonbradshaw.com,7080 Hollywood Blvd,Los Angeles,CA,90028,https://www.facebook.com/AndersonBradshawTaxConsulting,,,,['Mo-Sa 09:00-17:00'],5,110,34 Years,4 Years ,,,Accredited Business,https://www.yellowpages.com/los-angeles-ca/mip/anderson-bradshaw-tax-consultants-503094688?lid=1002014442884,"** Stop Collections ** Help with Tax Liens-Levies ** Debt & IRS Tax Relief  ** Tax Negotiations-Settlements ** GET HELP NOW - FREE CONSULTATION. Full service tax firm.  Affordable fees for any budget. In most cases we settle for a fraction of the amount owed. We solve IRS and State tax liability problems. We are a nationwide firm with 25 years experience. We represent those with tax problems. Professional tax consultation and negotiations. You are not alone. We help with : Tax Law - Tax Negotiation - Back taxes - Tax attorney - Audit Representation . AFFORDABLE ATTORNEY RETAINERS - In most cases we settle for a fraction of the amount owed. Offer in compromise. Tax relief. Tax law. Wage garnishment. Tax lien Tax levy. Tax settlement. 940 , 941 , Payroll taxes. Back taxes"
Optima Tax Relief,(800) 910-9619,,,,,,,,,,,"['Mo-Fr 07:00-18:00', 'Sa 08:00-12:00']",5,90,12 Years,3 Years ,,,,https://www.yellowpages.com/nationwide/mip/optima-tax-relief-470441381?lid=1002154923483,"Falling behind on tax payments to the IRS is something that millions of Americans have dealt with at one time or another. Owing money to the IRS can be very intimidating, but don’t worry and definitely don’t lose hope – there is tax relief available. A reputable tax relief company can help you reach a tax relief agreement with the IRS. Using proven strategies, our knowledgeable experts can assist you through tax audits, help reduce your tax debt, and stop wage garnishments and bank levies from happening. In some cases, you may be able to settle tax debts for much less than was originally owed. The tax relief experts at Optima Tax Relief are available to be your dedicated resource to save you the most money while resolving your IRS debt in the shortest amount of time possible."
Optima Tax Relief,(877) 799-1252,,,,,,,,,,,"['Mo-Fr 07:00-18:00', 'Sa 08:00-12:00']",5,1,12 Years,11 Years ,,,,https://www.yellowpages.com/nationwide/mip/optima-tax-relief-556638512?lid=1002153391427,"Falling behind on tax payments to the IRS is something that millions of Americans have dealt with at one time or another. Owing money to the IRS can be very intimidating, but don’t worry and definitely don’t lose hope – there is tax relief available. A reputable tax relief company can help you reach a tax relief agreement with the IRS. Using proven strategies, our knowledgeable experts can assist you through tax audits, help reduce your tax debt, and stop wage garnishments and bank levies from happening. In some cases, you may be able to settle tax debts for much less than was originally owed. The tax relief experts at Optima Tax Relief are available to be your dedicated resource to save you the most money while resolving your IRS debt in the shortest amount of time possible."
A. Allen Ramsey Law Office,(205) 956-1716,allen@ramseylegal.com,,201 20th St S,Irondale,AL,35210,,,,,['Mo-Fr 09:00-17:00'],,,32 Years,,,,,https://www.yellowpages.com/irondale-al/mip/a-allen-ramsey-law-office-1607912?lid=1000625279655,Call today to schedule your Consultation!
Birmingham IRS Tax Settlement Attorneys,(205) 882-8152,birmingham@irstaxsettlementattorneys.com,https://irstaxsettlementattorneys.com/birmingham,2100 Southbridge Pkwy Ste 650,Birmingham,AL,35209,,,,,['Mo-Su 06:00-21:00'],,,1 Year,,,,,https://www.yellowpages.com/birmingham-al/mip/birmingham-irs-tax-settlement-attorneys-571529468,"If you have received letters from the IRS for unpaid taxes or unfiled tax returns, do not wait to act. The IRS can garnish your wages, levy the funds in your bank account, revoke passports, seize your home, and arrest individuals. Call us today for a free telephone consultation with one our experienced tax attorneys. We are the largest and most trusted tax law firm in the nation and we will settle your tax issues! Money-back guarantee!"
