Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
New Todd's Auto Parts,(205) 578-0327,abdulahashmi@gmail.com,https://new-todds-auto-parts.business.site,2620 27th Ave N,Birmingham,AL,35207,https://www.facebook.com/pages/New-Todd-Auto-Parts/292511747572030,,,,['Mo-Sa 08:00-17:00'],,,29 Years,1 Year ,,,,https://www.yellowpages.com/birmingham-al/mip/new-todds-auto-parts-885967?lid=1002085124987,"New Todd Auto Parts Salvage Specialties : Auto parts available for all makes & models, even engines and transmissions! Sell your junk car for Cash today! We are a family run auto salvage yard, offering a self-service area as well as classics and RVs. Come check out the yard with no admission fee!"
Frankie's Auto Parts,(205) 788-0070,,,2308 Avenue C,Birmingham,AL,35218,https://www.facebook.com/pages/frankies-auto-parts/139204222793462,,,,"['Mo-Fr 08:00-17:30', 'Sa 08:00-15:00']",,,32 Years,9 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/frankies-auto-parts-6985063?lid=1000625278197,
Palmer Brothers Auto Parts,(205) 956-8861,,http://www.birminghamautomobileparts.com,1849 Ruffner Rd,Birmingham,AL,35210,,,,,['Mo-Fr 08:00-17:00'],,,55 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/palmer-brothers-auto-parts-538478571?lid=1001761153064,"Welcome to Palmer Brothers Auto Parts! We are a third-generation family-owned and -operated business. We have been serving the Birmingham, Alabama, area since 1968. We pride ourselves on the fact that we have over 40 years of experience in the recycling business. We specialize in parts for Dodge, Chrysler, Jeep, Hyundai and Kia, but we also carry parts for many other makes and models. With over a million parts in our inventory system, we can supply all of your parts needs. We offer a 90-day warranty on all parts, as well as extended warranties. Be sure and ask our sales person for details when you call.  We deal in new, used, rebuilt and aftermarket parts. We do provide shipping services anywhere in the USA, so if you can’t make it to our physical location, don’t worry! We want to help you find quality parts for the best prices, no matter where you are located.  Ready to get rid of that old, unwanted, junk vehicle? Give us a call. We will buy your car or truck, but you must have the vehicle title in order for us to purchase it.  When you need to buy car parts, buying new isn’t always your best option! In fact, there are lots of reasons you might consider opting for used parts."
Cherry Avenue Auto,(205) 674-8668,recarda.finance@gmail.com,http://www.cherryavenueautoparts.com,2904 Cherry Ave,Birmingham,AL,35214,,,,,['Mo-Sa 08:00-18:00'],3.5,3,,,,,,https://www.yellowpages.com/birmingham-al/mip/cherry-avenue-auto-475305161?lid=1001329786997,"Used & Rebuilt Auto Parts, Automobile Body Repairing & Painting, Automobile Parts & Supplies, Auto Repair & Service , Automobile Salvage"
Radiators  Inc of Birmingham,(205) 323-3333,rob@crescentradiator.com,http://www.crescentradiator.com,3230 Messer Airport Hwy,Birmingham,AL,35222,https://www.facebook.com/pages/radiators-inc-of-birgingham/391577957701652,,,,['Mo-Fr 09:00-17:00'],5,1,1022 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/radiators-inc-of-birmingham-12672406?lid=1000437165297,"Over 25,000 Quality Parts in Stock.  Radiators, A/C Condensers, Cooling Fans Automotive, Truck & Industrial.  Locally Owned & Operated.  Ask about our price match guaranteed"
Mike Trammell Body Shop,(205) 323-5515,wreckertra@aol.com,http://www.miketrammellbodyshop.com,2121 2nd Ave S,Birmingham,AL,35233,,,,,"['Mo-Th 07:00-16:30', 'Fr 13:00-15:30']",3,2,35 Years,11 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/mike-trammell-body-shop-21796320?lid=1000923289202,With 20 Years Experience We Offer The Highest Quality Work To Bring Your Vehicle Back To Life. We Can Handle Most Models From Cars To Trucks. Call Us Today For More Information.
Spradlin Alan & Johnny Auto Parts,(205) 322-0434,alanspradlin@yahoo.com,,2924 Messer Airport Hwy,Birmingham,AL,35203,,,,,"['Mo-Fr 08:00-17:00', 'Sa 08:00-16:00']",,,66 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/spradlin-alan-johnny-auto-parts-1213493,
North Birmingham Truck & Auto,(205) 320-1111,nbirmpts@bellsouth.net,,3533 28th Pl N,Birmingham,AL,35207,,,,,['Mo-Fr 09:00-17:00'],5,1,29 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/north-birmingham-truck-auto-12097010,Serving Central Alabama!
Coleman's Auto Parts,(205) 925-8140,colemanautoparts@gmail.com,,3135 Cedar Ave SW,Birmingham,AL,35221,,,,,"['Mo-Fr 08:00-17:00', 'Sa 08:00-14:00']",5,1,73 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/colemans-auto-parts-13967760,
Pull-A-Part Of Birmingham,(205) 252-7278,customerservice@pullapart.com,http://www.pullapart.com,3520 27th Ave N,Birmingham,AL,35207,,,,,['Mo-Su 08:00-18:00'],,,26 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/pull-a-part-of-birmingham-20173068,"Quality and difference greet you at each Pull-A-Part lot. Attractively landscaped and diligently maintained, we have won environmental awards for our continuing efforts to bring the look and function of each location to its fullest potential. We work hard to be a welcomed, dependable neighbor in the communities we serve, and our efforts show every day. 
 
Entering each store, you will be greeted by our friendly and helpful staff members. They will lead you to our high-tech inventory touch screen and quickly check what we have on display or cross-reference your needs through our computerized inventory system, giving you all your options. They'll help you quickly zero-in on which cars are currently available, and exactly where they sit out in the lot. In a few minutes, you can choose what you want and remove it yourself. When you leave with all the parts you need, you'll be pleased with your savings. It's a nice reward, and part of every sale at Pull-A-Part. 
 
Just bring some tools, and you can walk away with hand-selected, quality used auto parts for less. We invite you to enjoy the Pull-A-Part difference."
