Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
We Mount TVs,(888) 714-5179,info@wemounttvs.com,http://www.wemounttvs.com,530 32nd St S,Birmingham,AL,35233,http://facebook.com/wemounttvs,,,,['Mo-Sa 09:00-19:00'],,,13 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/we-mount-tvs-465399437?lid=1000625280994,
Alabama Power Co,(800) 245-2244,,http://www.alabamapower.com,9820 Parkway E,Birmingham,AL,35215,,,,,['Mo-Fr 08:30-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/alabama-power-co-8943961,
Precision Electric Coil,(205) 591-5566,,http://www.jayelectric.com,3801 Messer Airport Hwy,Birmingham,AL,35222,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/precision-electric-coil-474934040,
Alstom Power Inc,(205) 991-7285,shared@invernessderm.com,http://alstom.com,31 Inverness Center Pkwy,Birmingham,AL,35242,,,,,['Mo-Fr 09:00-17:00'],,,24 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/alstom-power-inc-464810396,
Birmingham Waterworks Board,(205) 264-9980,,http://www.birminghamwaterworks.com/cgi-sys/defaultwebpage.cgi,3621 Messer Airport Hwy,Birmingham,AL,35222,,,,,,,,11 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/birmingham-waterworks-board-468530542,
Alagasco,(800) 292-4008,myaccount@alagasco.com,http://www.alagasco.com,20 20th St S,Birmingham,AL,35295,,,,,['Mo-Fr 08:30-16:30'],,,171 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/alagasco-479263172,NATURAL GAS UTILITY
Alabama Power Foundation Inc,(205) 257-2508,,http://www.alabamapower.com,600 18th St N,Birmingham,AL,35203,,,,,['Mo-Fr 09:00-17:00'],,,117 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/alabama-power-foundation-inc-464822784,"Alabama Power Company is a regional energy company with more than 40,000 megawatts of electric generating capacity in the Southeast. It is one of the largest producers of electricity in the United States. The company supplies energy to a 120,000-square-mile service territory throughout most of Georgia and Alabama, southeastern Mississippi and the panhandle region of Florida. It is ranked in the top 200 in the FORTUNE 500 listing of the largest United States corporations. Alabama Power Company owns five regulated retail electric utilities, Georgia Power, Gulf Power, Mississippi Power and Savannah Electric. It also owns Southern Nuclear and Southern Company Gas."
Integra Water Texas,(205) 326-3200,,https://integrawater.com,3212 6th Ave S,Birmingham,AL,35222,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/integra-water-texas-566574358,"Located in Birmingham, Ala., Integra Water LLC builds and operates wastewater utility systems. The company offers a range of services, such as assist in the planning, design of treatment systems, collection, distribution networks, handling operations and maintenance. It serves several areas, including Southeastern US and Gulf Coast. Integra Water LLC works with municipalities, developers and communities, to name a few. The company has association with the Clear Water Solutions, Hayes James, Baker Donelson and Goodwyn Mills and Cawood Inc."
Alabama Gaslight & Grill,(205) 870-4060,mike@alabamagaslightandgrill.com,http://www.alabamagaslightandgrill.com,2828 Linden Ave,Birmingham,AL,35209,,,,,"['Mo-Fr 09:00-17:00', 'Sa 09:00-15:00']",,,60 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/alabama-gaslight-grill-3755480,
Southern Company,(205) 257-3748,CABOATRI@southernco.com,http://www.southernco.com,600 18th St N,Birmingham,AL,35203,,,,,,,,54 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/southern-company-504635066,
