Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Weigh To Wellness,(205) 386-3685,lesliefellison@gmail.com,http://www.weightowellnessllc.com,"4704 Cahaba River Rd., Suite A1",Birmingham,AL,35243,https://www.facebook.com/WeightoWellness,,,,['Mo-Th 08:00-17:00'],5,4,9 Years,9 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/weigh-to-wellness-497661669?lid=1000556575209,"FREE CONSULTATION to discuss individually personlized programs  NO CONTRACTS NO SIGN UP FEES VLCD (Very Low Calorie Diet - average 3-5lbs. of weight loss weekly),  LCD (Low Calorie Diet - 2-3lbs. of weight loss weekly), Nutritional Guidance & Meal Planning with a Registered Dietitian, B12 & Lipotropic Injections, Prescription Medication Dispensed in Office FREE LIFETIME MAINTENANCE"
OB/GYN Associates Of Alabama PC,(205) 719-6140,,http://obgynal.com/,800 Saint Vincents Dr,Birmingham,AL,35205,,,,,"['Mo-Th 08:30-16:30', 'Fr 08:30-12:00']",4.5,8,36 Years,11 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/ob-gyn-associates-of-alabama-pc-474483616?lid=355572560,"From its beginning in 1965, OB/GYN Associates of Alabama has offered the Birmingham commu­nity the highest quality women's health care ser­vices. Even as our practice has grown, we have not outgrown our priorities: Strive for Medical Excellence Be Sensitive to the Needs of You our Patient Provide Convenient Locations and Services As OB/GYN Associates of Alabama continues to expand into new and exciting frontiers, our vision remains focused on providing quality care, sensitivity and understanding, professional counseling and educational information for women of all ages, throughout all stages of your life.|Year Established: 1965."
Weigh To Wellness,(205) 386-3685,lesliefellison@gmail.com,http://www.weightowellnessllc.com,"4704 Cahaba River Rd., Suite A1",Birmingham,AL,35243,https://www.facebook.com/WeightoWellness,,,,['Mo-Th 08:00-17:00'],5,4,9 Years,9 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/weigh-to-wellness-497661669?lid=1000556575209,"FREE CONSULTATION to discuss individually personlized programs  NO CONTRACTS NO SIGN UP FEES VLCD (Very Low Calorie Diet - average 3-5lbs. of weight loss weekly),  LCD (Low Calorie Diet - 2-3lbs. of weight loss weekly), Nutritional Guidance & Meal Planning with a Registered Dietitian, B12 & Lipotropic Injections, Prescription Medication Dispensed in Office FREE LIFETIME MAINTENANCE"
OB/GYN Associates Of Alabama PC,(205) 719-6140,,http://obgynal.com/,800 Saint Vincents Dr,Birmingham,AL,35205,,,,,"['Mo-Th 08:30-16:30', 'Fr 08:30-12:00']",4.5,8,36 Years,11 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/ob-gyn-associates-of-alabama-pc-474483616?lid=355572560,"From its beginning in 1965, OB/GYN Associates of Alabama has offered the Birmingham commu­nity the highest quality women's health care ser­vices. Even as our practice has grown, we have not outgrown our priorities: Strive for Medical Excellence Be Sensitive to the Needs of You our Patient Provide Convenient Locations and Services As OB/GYN Associates of Alabama continues to expand into new and exciting frontiers, our vision remains focused on providing quality care, sensitivity and understanding, professional counseling and educational information for women of all ages, throughout all stages of your life.|Year Established: 1965."
The Weight Loss Clinic,(205) 655-7723,,,1423 Gadsden Hwy,Birmingham,AL,35235,,,,,"['Tu 16:00-20:00', 'Th 11:00-18:00', 'Fr 07:30-18:00', 'Sa 09:00-14:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/the-weight-loss-clinic-455320672,
Advanced Weight Loss,(205) 414-9977,,http://letslose.com,3324 Independence Dr,Birmingham,AL,35209,,,,,"['Mo 11:00-20:00', 'Tu 11:00-18:00', 'Th-Fr 11:00-18:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/advanced-weight-loss-79241,
Serotonin-Plus Weight Loss,(205) 271-5650,,http://birminghamobgyn.com,800 Saint Vincents Dr,Birmingham,AL,35205,,,,,"['Mo-Th 08:00-16:00', 'Fr 08:00-12:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/serotonin-plus-weight-loss-465412022,The business Specializes in Weight Control Services.
Ciasia's Hairtique,(205) 587-7144,,,2508 Bessemer Rd,Birmingham,AL,35208,,,,,"['Tu 10:00-19:00', 'We-Th 11:00-19:00', 'Fr-Sa 08:00-19:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/ciasias-hairtique-533823985,VIRGIN HAIR ON HAND
SlimFit Weightloss Clinics,(205) 637-0405,,http://www.slimfitweightlossclinic.com,181 W Valley Ave Ste 146,Birmingham,AL,35209,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/slimfit-weightloss-clinics-544419740,"We offer Vitamin injection Therapy. Lipo/B12 injections to assist pour clients in losing up to 5 pounds a week and 20 pounds a month. We also offer meal planning, protein shakes, supplements, appetite suppressants and waist trainers"
MD Wellness & Aesthetics,(205) 582-9216,,http://mdwellnessandaesthetics.com,650 Inverness Cors,Birmingham,AL,35242,,,,,"['Mo 09:00-17:00', 'Tu 11:00-19:00', 'We-Th 09:00-17:00', 'Fr 09:00-16:00']",,,12 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/md-wellness-aesthetics-507718755,"At MD Wellness & Aesthetics, we focus on 3 core areas to assist our clients in achieving an overall sense of well-being. Through medically supervised weight loss, age-management, and aesthetic services we encourage each patient to reach their individual goals. We formulate custom solutions and protocols to fit your lifestyle and budget to insure you are satisfied with your results and service!"
LetsLose Weight Loss and Wellness,(205) 523-8327,,http://www.letslose.com,1930 Edwards Lake Rd Ste 132,Birmingham,AL,35235,,,,,"['Tu 11:00-19:00', 'We 08:00-16:00', 'Th-Fr 11:00-18:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/letslose-weight-loss-and-wellness-553325344,"WELCOME TO LETSLOSE Losing weight is now simpler than ever! Let our friendly and skilled staff show you. Start working towards your goal today!* We offer two programs to choose from to get you started in the right direction with losing those extra pounds. Give us a call today to find out more information. *Disclaimer: Each patient is unique, our program is focused on life style change to include a healthy diet, exercise and proper rest, thereâ??s no guarantee of specific results and results will vary."
"Letslose, Advanced Weight Loss Clinics",(205) 545-8180,,http://www.letslose.com,3324 Independence Dr,Birmingham,AL,35209,,,,,"['Mo 11:00-20:00', 'Tu 11:00-18:00', 'Th-Fr 11:00-18:00']",,,21 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/letslose-advanced-weight-loss-clinics-479809865,
Medifast,(205) 490-1911,,http://www.medifastanswers.com,813 Shades Creek Pkwy Ste 205,Birmingham,AL,35209,,,,,"['Mo 09:00-18:00', 'Tu 09:00-19:00', 'We 09:00-18:00', 'Th 09:00-19:00', 'Fr 09:00-14:00', 'Sa 09:00-13:00']",,,13 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/medifast-475929856,
Hormone Health,(205) 822-3211,,https://hormonehealthandweightloss.com/contact/birmingham-al,700 Century Park S,Birmingham,AL,35226,,,,,"['Mo-Tu 08:00-17:00', 'We 08:00-12:00', 'Th-Fr 08:00-17:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/hormone-health-566508277,
WW Weight Watchers,(800) 651-6000,,https://www.weightwatchers.com/us/find-a-meeting/1188590/ww-studio--westwood-baptist-church-family-center-birmingham-al?utm_source=otherlocal,2349 Forestdale Blvd,Birmingham,AL,35214,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/ww-weight-watchers-495905603,
Achev Inc,(205) 980-6131,,,300 Cahaba Park Cir Ste 118,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/achev-inc-20743226,
Slimfit Weight Loss Clinic,(205) 407-8171,,,1540 Center Point Pkwy,Birmingham,AL,35215,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/slimfit-weight-loss-clinic-549157433,
Medical Weight Loss Solution,(205) 991-9370,,,5263 Highway 280,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/medical-weight-loss-solution-532904211,
WW Weight Watchers,(800) 651-6000,,https://www.weightwatchers.com/us/find-a-meeting/1236369/ww-studio--north-shelby-library-birmingham-al?utm_source=otherlocal,5521 Cahaba Valley Rd,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/ww-weight-watchers-543483837,
Advanced Weight Loss,(205) 995-4224,,,1063 Narrows Way Ste D,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/advanced-weight-loss-466918456,
LA Weight Loss Center,(205) 661-0650,,,5880 Trussville Crossings Blvd Ste 104,Birmingham,AL,35235,,,,,"['Mo-Th 09:00-18:00', 'Fr 09:00-17:00', 'Sa 13:00-17:00', 'Su 16:00-20:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/la-weight-loss-center-451186960,
Body By Vi,(205) 835-4744,,,,Birmingham,AL,35203,,,,,['Mo-Su'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/body-by-vi-481822553,"Are You Ready for The Challenge?! Welcome to Body By Vi; The fastest-growing health challenge in North America offering over $47 million a year in free products, prizes and dream vacations for those with the most inspiring 90-Day results. The ""90 Day Challenge"" is designed to help you set specific weight loss goal(s) or goal(s) to build lean body muscle. The Challenge SIMPLY works! The program consists of 2 delicious protein shakes per day, & 1 desired meal of your choice. The delicious shakes can be incorporated with your favorite fruits, low fat yogurt, low fat milk, or even juice. Try a banana pudding shake, Oreo Shake, or even delicious apple pie! There are A variety of shakes that taste delicious! What better way to shed pounds, gain lean body muscle, earn prizes & rewards for your efforts, earn extra cash, & shift your life in a direction where you & your family will forever be healthy & wealthy!  THE SHAKE MIX THAT TASTES LIKE A CAKE MIX Vi-Shape is the foundation of every Body by Vi Challenge Kit thanks to an unbeatable combination of great nutrition and great taste. Whether your Challenge goal is to lose weight, be more active, or get fit, Vi-Shape is an innovative and delicious way to give your body what it needs. Vi-Shape supports your success thanks to an exclusive Tri-Sorb protein blend, and is low fat, low sodium, low calorie, low sugar, and lower carb than other brands. Best of all it tastes amazing! Great on its own with a delicious Sweet Cream flavor, or shake things up with one of our flavor mix-ins, fresh fruit, or any of the over 1,000 community favorite recipes found at recipes.vi.com. It's fast, delicious, and healthy all for less than $2 a meal!  The ""Vi Crunch"" Cereal has also swept the market & BOOMED!!  The Challenge Goal In A Bowl The Shake In a Flake visit www.crunch.vi.com Vi Crunch puts your Challenge goals in a bowl with the same amount of 12 grams of protein and 5 grams of prebiotic fiber thats found in your Vi-Shape Shake! Combining our delicious Sweet Cream flavor with almond slices and added crunch, now you can chew your Challenge! The Body by Vi Challenge has become the fastest growing health movement in North America, with over 150,000 new challengers joining every month! The Challenge is going viral,  powered by people telling people about their results! ViSalus fuels this organic growth with an entire program of cash bonuses and other rewards for simply promoting the Challenge!   Studies have shown that youre more likely to have success towards any health goal when youve got others by your side. The Challenge helps you do this by giving you your Challenge Kit for free each month when you help at least 3 friends join the Challenge with you. Whats better than getting fit for free?!?   
"
Lato,(205) 437-9900,,,5263 Highway 280,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/lato-6328322,
Alabama Weight Loss Surgery,(205) 838-3047,,http://alabamawls.com,52 Medical Park Dr E,Birmingham,AL,35235,,,,,['Mo-Fr 08:00-16:30'],,,19 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/alabama-weight-loss-surgery-13821644,
Ami Brookwood Weight Mgmt,(205) 877-1858,,http://www.brookwoodent.com,2010 Brookwood Medical Ctr Dr,Birmingham,AL,35209,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/ami-brookwood-weight-mgmt-464358417,
Weightloss USA,(205) 655-7781,,,3229 Veterans Cir,Birmingham,AL,35235,,,,,,,,18 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/weightloss-usa-417621,
Advance Weight Loss Clinic,(205) 991-2030,,,270 Doug Baker Blvd,Birmingham,AL,35242,,,,,,,,20 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/advance-weight-loss-clinic-452207201,
Weight Watchers,(800) 651-6000,,http://www.weightwatchers.com,5042 Pinnacle Sq Ste 112,Birmingham,AL,35235,,,,,"['Mo 17:00-18:30', 'Tu 17:30-19:00', 'We 09:00-10:30', 'Th 17:30-19:00', 'Fr 09:00-10:30', 'Sa 07:30-10:30', 'Su 13:30-15:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/weight-watchers-471853896,
Pound By Pound Weightloss,(205) 785-5505,,,1716 3rd Ave W,Birmingham,AL,35208,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/pound-by-pound-weightloss-476086037,
Weigh 2 Live,(205) 545-9355,,,1664 Forestdale Blvd,Birmingham,AL,35214,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/weigh-2-live-461865062,
Jenny Craig,(205) 980-7671,,http://jennycraig.com,4606 Highway 280 Ste 106,Birmingham,AL,35242,,,,,"['Mo 14:00-19:00', 'Tu 14:00-15:00', 'Th 13:00-18:00', 'Fr-Sa 08:00-13:00']",,,15 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/jenny-craig-22330168,
Advanced Weight Loss Clinics,(205) 655-7723,,http://www.letslose.com,5915 Trussville Crossings Pkwy Ste 133,Birmingham,AL,35235,,,,,"['Tu 11:00-20:00', 'We 08:00-16:00', 'Th-Fr 11:00-18:00']",,,21 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/advanced-weight-loss-clinics-12640286,
OB/GYN Associates Of Alabama PC,(205) 719-6140,,http://obgynal.com/,800 Saint Vincents Dr,Birmingham,AL,35205,,,,,"['Mo-Th 08:30-16:30', 'Fr 08:30-12:00']",4.5,8,36 Years,11 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/ob-gyn-associates-of-alabama-pc-474483616?lid=355572560,"From its beginning in 1965, OB/GYN Associates of Alabama has offered the Birmingham commu­nity the highest quality women's health care ser­vices. Even as our practice has grown, we have not outgrown our priorities: Strive for Medical Excellence Be Sensitive to the Needs of You our Patient Provide Convenient Locations and Services As OB/GYN Associates of Alabama continues to expand into new and exciting frontiers, our vision remains focused on providing quality care, sensitivity and understanding, professional counseling and educational information for women of all ages, throughout all stages of your life.|Year Established: 1965."
Weigh To Wellness,(205) 413-8783,weightowellnessllc@gmail.com,http://www.weightowellnessllc.com,"4704 Cahaba River Rd., Suite A1",Birmingham,AL,35243,https://www.facebook.com/WeightoWellness,,,,['Mo-Th 08:00-17:00'],5,4,9 Years,4 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/weigh-to-wellness-497661669?lid=1002104838650,"FREE CONSULTATION to discuss individually personlized programs  NO CONTRACTS NO SIGN UP FEES VLCD (Very Low Calorie Diet - average 3-5lbs. of weight loss weekly),  LCD (Low Calorie Diet - 2-3lbs. of weight loss weekly), Nutritional Guidance & Meal Planning with a Registered Dietitian, B12 & Lipotropic Injections, Prescription Medication Dispensed in Office FREE LIFETIME MAINTENANCE"
Weigh To Wellness,(205) 386-3685,lesliefellison@gmail.com,http://www.weightowellnessllc.com,"4704 Cahaba River Rd., Suite A1",Birmingham,AL,35243,https://www.facebook.com/WeightoWellness,,,,['Mo-Th 08:00-17:00'],5,4,9 Years,9 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/weigh-to-wellness-497661669?lid=1000556575209,"FREE CONSULTATION to discuss individually personlized programs  NO CONTRACTS NO SIGN UP FEES VLCD (Very Low Calorie Diet - average 3-5lbs. of weight loss weekly),  LCD (Low Calorie Diet - 2-3lbs. of weight loss weekly), Nutritional Guidance & Meal Planning with a Registered Dietitian, B12 & Lipotropic Injections, Prescription Medication Dispensed in Office FREE LIFETIME MAINTENANCE"
OB/GYN Associates Of Alabama PC,(205) 719-6140,,http://obgynal.com/,800 Saint Vincents Dr,Birmingham,AL,35205,,,,,"['Mo-Th 08:30-16:30', 'Fr 08:30-12:00']",4.5,8,36 Years,11 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/ob-gyn-associates-of-alabama-pc-474483616?lid=355572560,"From its beginning in 1965, OB/GYN Associates of Alabama has offered the Birmingham commu­nity the highest quality women's health care ser­vices. Even as our practice has grown, we have not outgrown our priorities: Strive for Medical Excellence Be Sensitive to the Needs of You our Patient Provide Convenient Locations and Services As OB/GYN Associates of Alabama continues to expand into new and exciting frontiers, our vision remains focused on providing quality care, sensitivity and understanding, professional counseling and educational information for women of all ages, throughout all stages of your life.|Year Established: 1965."
Weigh To Wellness,(205) 386-3685,lesliefellison@gmail.com,http://www.weightowellnessllc.com,"4704 Cahaba River Rd., Suite A1",Birmingham,AL,35243,https://www.facebook.com/WeightoWellness,,,,['Mo-Th 08:00-17:00'],5,4,9 Years,9 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/weigh-to-wellness-497661669?lid=1000556575209,"FREE CONSULTATION to discuss individually personlized programs  NO CONTRACTS NO SIGN UP FEES VLCD (Very Low Calorie Diet - average 3-5lbs. of weight loss weekly),  LCD (Low Calorie Diet - 2-3lbs. of weight loss weekly), Nutritional Guidance & Meal Planning with a Registered Dietitian, B12 & Lipotropic Injections, Prescription Medication Dispensed in Office FREE LIFETIME MAINTENANCE"
OB/GYN Associates Of Alabama PC,(205) 719-6140,,http://obgynal.com/,800 Saint Vincents Dr,Birmingham,AL,35205,,,,,"['Mo-Th 08:30-16:30', 'Fr 08:30-12:00']",4.5,8,36 Years,11 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/ob-gyn-associates-of-alabama-pc-474483616?lid=355572560,"From its beginning in 1965, OB/GYN Associates of Alabama has offered the Birmingham commu­nity the highest quality women's health care ser­vices. Even as our practice has grown, we have not outgrown our priorities: Strive for Medical Excellence Be Sensitive to the Needs of You our Patient Provide Convenient Locations and Services As OB/GYN Associates of Alabama continues to expand into new and exciting frontiers, our vision remains focused on providing quality care, sensitivity and understanding, professional counseling and educational information for women of all ages, throughout all stages of your life.|Year Established: 1965."
The Weight Loss Clinic,(205) 655-7723,,,1423 Gadsden Hwy,Birmingham,AL,35235,,,,,"['Tu 16:00-20:00', 'Th 11:00-18:00', 'Fr 07:30-18:00', 'Sa 09:00-14:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/the-weight-loss-clinic-455320672,
Advanced Weight Loss,(205) 414-9977,,http://letslose.com,3324 Independence Dr,Birmingham,AL,35209,,,,,"['Mo 11:00-20:00', 'Tu 11:00-18:00', 'Th-Fr 11:00-18:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/advanced-weight-loss-79241,
Serotonin-Plus Weight Loss,(205) 271-5650,,http://birminghamobgyn.com,800 Saint Vincents Dr,Birmingham,AL,35205,,,,,"['Mo-Th 08:00-16:00', 'Fr 08:00-12:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/serotonin-plus-weight-loss-465412022,The business Specializes in Weight Control Services.
Ciasia's Hairtique,(205) 587-7144,,,2508 Bessemer Rd,Birmingham,AL,35208,,,,,"['Tu 10:00-19:00', 'We-Th 11:00-19:00', 'Fr-Sa 08:00-19:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/ciasias-hairtique-533823985,VIRGIN HAIR ON HAND
SlimFit Weightloss Clinics,(205) 637-0405,,http://www.slimfitweightlossclinic.com,181 W Valley Ave Ste 146,Birmingham,AL,35209,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/slimfit-weightloss-clinics-544419740,"We offer Vitamin injection Therapy. Lipo/B12 injections to assist pour clients in losing up to 5 pounds a week and 20 pounds a month. We also offer meal planning, protein shakes, supplements, appetite suppressants and waist trainers"
MD Wellness & Aesthetics,(205) 582-9216,,http://mdwellnessandaesthetics.com,650 Inverness Cors,Birmingham,AL,35242,,,,,"['Mo 09:00-17:00', 'Tu 11:00-19:00', 'We-Th 09:00-17:00', 'Fr 09:00-16:00']",,,12 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/md-wellness-aesthetics-507718755,"At MD Wellness & Aesthetics, we focus on 3 core areas to assist our clients in achieving an overall sense of well-being. Through medically supervised weight loss, age-management, and aesthetic services we encourage each patient to reach their individual goals. We formulate custom solutions and protocols to fit your lifestyle and budget to insure you are satisfied with your results and service!"
LetsLose Weight Loss and Wellness,(205) 523-8327,,http://www.letslose.com,1930 Edwards Lake Rd Ste 132,Birmingham,AL,35235,,,,,"['Tu 11:00-19:00', 'We 08:00-16:00', 'Th-Fr 11:00-18:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/letslose-weight-loss-and-wellness-553325344,"WELCOME TO LETSLOSE Losing weight is now simpler than ever! Let our friendly and skilled staff show you. Start working towards your goal today!* We offer two programs to choose from to get you started in the right direction with losing those extra pounds. Give us a call today to find out more information. *Disclaimer: Each patient is unique, our program is focused on life style change to include a healthy diet, exercise and proper rest, thereâ??s no guarantee of specific results and results will vary."
"Letslose, Advanced Weight Loss Clinics",(205) 545-8180,,http://www.letslose.com,3324 Independence Dr,Birmingham,AL,35209,,,,,"['Mo 11:00-20:00', 'Tu 11:00-18:00', 'Th-Fr 11:00-18:00']",,,21 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/letslose-advanced-weight-loss-clinics-479809865,
Medifast,(205) 490-1911,,http://www.medifastanswers.com,813 Shades Creek Pkwy Ste 205,Birmingham,AL,35209,,,,,"['Mo 09:00-18:00', 'Tu 09:00-19:00', 'We 09:00-18:00', 'Th 09:00-19:00', 'Fr 09:00-14:00', 'Sa 09:00-13:00']",,,13 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/medifast-475929856,
