Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Budget Blinds,(205) 824-3300,sthackerson@budgetblinds.com,http://www.budgetblinds.com/?utm_source=Internet&utm_medium=YellowPages&utm_campaign=IYP,2130 Columbiana Rd,Birmingham,AL,35216,https://www.facebook.com/budget-blinds-of-birmingham-226843147329600/,,,,['Mo-Fr 07:30-17:00'],5,19,31 Years,10 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/budget-blinds-482244233?lid=1001229742734,"Budget Blinds - a style for every point of view - Serving Birmingham for over 25 years - Shutters, Wood Blinds, Faux Blinds, Draperies, Bedding, Pillows, Cellular Shades, Bamboo Shades, Vertical Blinds, Mini Blinds, Specialty Shapes, Window Film - Come Visit Our Showroom - 2130 Columbiana Road - Vestavia"
Automotive Concepts,(205) 328-1639,,,2104 Green Springs Hwy S,Birmingham,AL,35205,https://www.facebook.com/pages/Automotive-Concepts/517733565044974?fref=ts,,,,['Mo-Sa 09:00-18:00'],,,31 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/automotive-concepts-19572695?lid=1000500543487,"Specializing In Car Audio, Window Tinting, Custom Wheels, Alarms, And More. Financing Available."
Tint Pro,(205) 948-8468,tintprobham@gmail.com,http://tintprobham.com,3229 Veterans Cir,Birmingham,AL,35235,https://www.facebook.com/pages/Tint-Pro/313519248805886,,,,"['Mo-Fr 09:00-17:00', 'Sa 09:00-15:00', 'Su 09:00-09:30']",,,9 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/tint-pro-503023750?lid=1000553682262,
Lightwave Solutions,(205) 690-0186,lightwavesolutionsinfo@gmail.com,http://www.lightwavesolutionsllc.com,2260 Old Rocky Ridge Rd,Vestavia Hills,AL,35216,,,,,['Mo-Sa 09:00-17:00'],,,,,,,,https://www.yellowpages.com/vestavia-hills-al/mip/lightwave-solutions-537422236?lid=1001354214952,
Tier 1 BHM,(205) 253-8063,mike@tier1detail.com,http://tier1bhm.com,3728 1st Ave N,Birmingham,AL,35222,,,,,['Mo-Fr 08:00-18:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/tier-1-bhm-565013699,"We are a Veteran-owned business with 20 years of experience. We've been providing clients with the highest quality in detailing. Well-known for our outstanding service and expertise, we've quickly become Birmingham's trusted go to Detailer. From the daily driver to the exotic import, our reasonable rates cannot be matched for the quality of service. Contact us today to schedule an appointment."
Lightwave Solutions LLC,(205) 690-0186,,http://www.lightwavesolutionsllc.com,2260 Rocky Ridge Rd,Birmingham,AL,35216,,,,,['Tu-Sa 09:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/lightwave-solutions-llc-518875372,"Lightwave Solutions, LLC is your source for window film tinting for homes, retailers and commercial office buildings. (Autos are handled by our other company Artistic Solar Films. They an be reached at 205-823-8468 or at artisticsolarfilms.com.) Whether you need to reduce light, stop heat and glare, enjoy increased energy efficiency, increase safety and security or just add a decorative look to your windows we have the products to help you. Easily add protection, safety, value and longevity to your home or building with window films from Llumar and Vista. Whether you are interested in saving money on your energy bill, protecting your home from storm damage, protecting your furniture and loved ones from harmful UV rays, or simply helping secure yourself against burglary, we provide our customers with top of the line products and services. How our products cannot only save you money every month, but add beauty, value and safety to your home and office. Call today for your consultation!"
Solar Reflections Services,(205) 831-4159,,https://srstintandgraphics.com,2013 Old Montgomery Hwy Ste B,Birmingham,AL,35244,,,,,['Mo-Fr 08:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/solar-reflections-services-560805427,"Solar Reflections provides state of the art graphics and installation of window tinting and vehicle wraps.  They use only the best products and work closely with their grade A manufacturers to keep up with latest installation techniques and products the industry has to offer.  In the window tinting division, SRS can provide and install commercial window tinting, residential window tinting, vehicle window tinting, security protective films, decorative films, restorative films and more.  In the Vehicle Wrap division they provide and install personal car wraps, commercial wraps, vinyl signage, banner and wall graphics."
Quality Tint & Music Shop,(205) 249-1737,deundra048@gmail.com,,1725 Lomb Ave,Birmingham,AL,35208,,,,,,,,5 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/quality-tint-music-shop-540617609,"We are a One-Stop Auto Shop, Family owned and operated. By recognizing our client's unique set of needs, we are able to accommodate their taste and budget. Specializing in window tinting, stereo installations, auto alarms & security systems, and minor auto service and repairs."
Hi-Tech Glass Tinting,(205) 283-1829,,,105 20th St N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/hi-tech-glass-tinting-459370307,
Exquisite Car Design,(205) 335-0402,jb@exquisitecardesign.com,https://www.exquisitecardesign.com,1606 Green Springs Hwy,Birmingham,AL,35205,,,,,"['Mo-Fr 09:00-18:00', 'Sa 09:00-17:00']",,,4 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/exquisite-car-design-549195387,
